PUBUKPRN,KISCOURSEID,KISMODE
10000571,BA-MT,1
10000571,BA-MTGIM,1
10000571,BA-MTGIM-SW,1
10000571,BA-MT-SW,1
10000712,BA_AAM,1
10000712,BA_BMG,1
10000712,BA_EVE,1
10000712,BA_HTI,1
10000712,BA_ITB,1
10000712,BSCCON,1
10000712,BSCFAC,1
10000712,BSCHSCS,1
10000712,FDGPCO,1
10001143,PHTDGNURCHI,1
10001282,21FAHE-N-AHE1,1
10001282,21FCES-N-CES1,1
10001282,21FODP-N-ODP1,1
10001282,21FPCL-N-PCY1,1
10001282,21FPCR-N-PCY3CMG,1
10001282,21FPGY-N-PGY1,1
10001282,21FPUT-N-PUT1,1
10001282,21FSCK-N-SCK1,1
10001282,21SACI-N-ACI1,1
10001282,21SARI-N-ARI1,1
10001282,21SATF-N-ATF1,1
10001282,21SAUO-N-AUO1,1
10001282,21SAUV-N-AUV1,1
10001282,21SBAA-N-BAA1,1
10001282,21SBCH-N-BCH1,1
10001282,21SBCP-N-BCP1,1
10001282,21SBMR-N-BMR2MRN,1
10001282,21SBNB-N-BNB1,1
10001282,21SBRM-N-BRM1,1
10001282,21SCIZ-N-CIZ1,1
10001282,21SCMS-N-CMS1,1
10001282,21SCMT-N-CMT1,1
10001282,21SDEF-N-DEF1,1
10001282,21SDSC-N-DSC1,1
10001282,21SECF-N-ECF1,1
10001282,21SEHZ-N-EGL2HTR,1
10001282,21SEIC-N-EIC1,1
10001282,21SENA-N-EGL2AST,1
10001282,21SFFA-N-FFA1,1
10001282,21SFNT-N-FNT1,1
10001282,21SFSU-N-FSU1,1
10001282,21SFYF-N-FYF1,1
10001282,21SFYH-N-FYH1,1
10001282,21SFYL-N-FYL1,1
10001282,21SFYM-N-FYM1,1
10001282,21SGBF-N-GBF1,1
10001282,21SGBH-N-GBH1,1
10001282,21SGBK-N-GBK1,1
10001282,21SGBN-N-GBN1,1
10001282,21SGBS-N-GBS1,1
10001282,21SGCO-N-GCO1,1
10001282,21SGEH-N-GEH1,1
10001282,21SGEY-N-GEY1,1
10001282,21SHLC-N-HLC1,1
10001282,21SIAH-N-IAH1,1
10001282,21SIBG-N-IBG1,1
10001282,21SIBI-N-IBG3SNH,1
10001282,21SIBR-N-IBG3FCH,1
10001282,21SITH-N-ITH1,1
10001282,21SLAL-N-LST2EGL,1
10001282,21SLWZ-N-LWZ1,1
10001282,21SMCR-N-MCR1,1
10001282,21SMER-N-MER1,1
10001282,21SMOE-N-MOE1,1
10001282,21SMTG-N-MTG1,1
10001282,21SNCS-N-NCS1,1
10001282,21SPFD-N-PFD1,1
10001282,21SSDY-N-SDY1,1
10001282,21SSET-N-SET1,1
10001282,21SSOA-N-SOA1,1
10001282,21SSXS-N-SXS1,1
10001478,UJEWAC,1
10001478,USACFF,1
10001478,USACTC,1
10001478,USACTF,1
10001478,USAFFF,1
10001478,USBMDB,1
10001478,USBMGF,1
10001478,USBMGT,1
10001478,USBMSP,1
10001478,USBMTF,1
10001478,USCCSF,1
10001478,USCOSC,1
10001478,USCOSF,1
10001478,USCSCF,1
10001478,USCSCI,1
